Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0136761314531784,-0.000123476029008224,0.194030441961572,0,0,0,43.2561418082898,0.322354505939308,0.000186867451875191,-0.00115027163581624,0.324915536247369,-7.97789355390339E-05,0.40510354842941,0,0,0,0,0,0,package://X1_URDF_V1_2/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://X1_URDF_V1_2/meshes/base_link.STL,,W1092-X1-DPZJ_ASM-1/X1-FZTYB-1;W1092-X1-DPZJ_ASM-1/PZT-1;W1092-X1-DPZJ_ASM-1/X1-PZZJ_ASM-1/X1-DPDPZ-1;W1092-X1-DPZJ_ASM-1/X1-ZK-1;W1092-X1-DPZJ_ASM-1/X1-RLZJ_ASM-1/X1-RLBG-1;W1092-X1-DPZJ_ASM-1/X1-RLZJ_ASM-1/X1-RLGDZJ-1;W1092-X1-DPZJ_ASM-1/X1-RLZJ_ASM-1/LZ_ASM-1/WOAN29D811EEJUSZ_66-1;W1092-X1-DPZJ_ASM-1/X1-LLZJ_ASM-1/X1-ZLGDZJ-1;W1092-X1-DPZJ_ASM-1/X1-LLZJ_ASM-1/X1-ZLBG-1;W1092-X1-DPZJ_ASM-1/X1-DCG-1;W1092-X1-DPZJ_ASM-1/X1-SQK-1;W1092-X1-DPZJ_ASM-1/X1-PZZJ_ASM-1/X1-DPXPZ-1;W1092-X1-DPZJ_ASM-1/X1-PZZJ_ASM-1/X1-DPZPZ-5;W1092-X1-DPZJ_ASM-1/X1-PZZJ_ASM-1/X1-DPZPZ-4;W1092-X1-DPZJ_ASM-1/X1-DPGDB-1;W1092-X1-DPZJ_ASM-1/X1-PZZJ_ASM-1/X1-DPXPZ-2;W1092-X1-DPZJ_ASM-1/X1-DPXPZ-1;W1092-X1-DPZJ_ASM-1/X1-PZZJ_ASM-1/X1-DPZPZ-1;W1092-X1-DPZJ_ASM-1/X1-SK-1;W1092-X1-DPZJ_ASM-1/X1-DCSG-1;W1092-X1-DPZJ_ASM-1/X1-PZZJ_ASM-1/X1-DPZPZ-3;W1092-X1-DPZJ_ASM-1/150ZCZZJ_ASM-1/150ZCZ-6;W1092-X1-DPZJ_ASM-1/150ZCZZJ_ASM-1/150ZCZ-2;W1092-X1-DPZJ_ASM-1/150ZCZZJ_ASM-1/150ZCZ-1;W1092-X1-DPZJ_ASM-1/150ZCZ-1;W1092-X1-DPZJ_ASM-1/150ZCZZJ_ASM-1/150ZCZ-5;W1092-X1-DPZJ_ASM-1/150ZCZZJ_ASM-1/150ZCZ-4;W1092-X1-DPZJ_ASM-1/X1-WBDT-1;W1092-X1-DPZJ_ASM-1/AJ-1;0001_ASM-1/XGJL-1;0001_ASM-1/SXTWK_ASJ-1;0001_ASM-1/XGJR-1;0001_ASM-1/4-1;0001_ASM-1/2-1;0001_ASM-1/0008-1;0001_ASM-1/3-1;0001_ASM-1/1-1;0001_ASM-1/0012-1;0001_ASM-1/SGJR-1;0001_ASM-1/SGJL-1;0001_ASM-1/0010-2/0010-1;0001_ASM-1/0010-1/0010-1;X1-0001_ASM-1/0016_ASM-1/00_2-1;W1092-X1-DPZJ_ASM-1/WXLZJ_ASM-1/WXL_ASM-2/WOAN29D811EEJUSZ_54-1;W1092-X1-DPZJ_ASM-1/WXLZJ_ASM-1/WXL_ASM-3/WOAN29D811EEJUSZ_54-1;W1092-X1-DPZJ_ASM-1/WXLZJ_ASM-1/WXL_ASM-1/WOAN29D811EEJUSZ_54-1;W1092-X1-DPZJ_ASM-1/WXLZJ_ASM-1/WXL_ASM-4/WOAN29D811EEJUSZ_54-1,base,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link_lun_r,-1.78791430105463E-07,0.000372595686203368,-1.93347677179823E-06,0,0,0,0.901364131862709,0.00132679994557608,-1.57473189246238E-07,2.9570782248194E-08,0.00222223084192835,-5.21995991585604E-07,0.0013264687037192,0,0,0,0,0,0,package://X1_URDF_V1_2/meshes/Link_lun_r.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://X1_URDF_V1_2/meshes/Link_lun_r.STL,,W1092-X1-DPZJ_ASM-1/X1-RLZJ_ASM-1/LZ_ASM-1/WOAN29D811EEJUSZ_4-1,Alun_R,lun_R,lun_r,continuous,3.32719348903332E-05,-0.176068391324452,0.0358055809695123,0,0,0,base_link,-0.000166166494856793,0.999999812284529,-0.000589762326570622,,,,,,,,,,,,
Link_lun_l,8.90539802567147E-07,-0.000372633708801806,2.12189881432581E-06,0,0,0,0.901358258759712,0.00132680004187082,1.50313414937939E-07,-3.36813834236966E-08,0.00222222989705257,-5.24000938565942E-07,0.00132646760182045,0,0,0,0,0,0,package://X1_URDF_V1_2/meshes/Link_lun_l.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://X1_URDF_V1_2/meshes/Link_lun_l.STL,,W1092-X1-DPZJ_ASM-1/X1-LLZJ_ASM-1/LZ_ASM-1/WOAN29D811EEJUSZ_4-1,Alun_L,lun_L,lun_l,continuous,2.69006563828889E-05,0.175884199375941,0.0358126448451754,0,0,0,base_link,-0.000158584580744165,-0.999999812284529,0.000591846125874684,,,,,,,,,,,,
Link_wxl_1_2,-0.00844592653712511,0.00024641874335643,-0.0177476550522507,0,0,0,0.0560961902494204,2.19717050838621E-05,1.63251610478803E-07,-5.1417615132721E-06,1.78790240761639E-05,1.89048359570018E-07,2.03694290098137E-05,0,0,0,0,0,0,package://X1_URDF_V1_2/meshes/Link_wxl_1_2.STL,0.776470588235294,0.756862745098039,0.737254901960784,1,0,0,0,0,0,0,package://X1_URDF_V1_2/meshes/Link_wxl_1_2.STL,,W1092-X1-DPZJ_ASM-1/WXLZJ_ASM-1/WXL_ASM-3/WOAN29D811EEJUSZ_67-1,AWXL1_2,WXL1_2,wxl_1_2,continuous,0.137522383254514,-0.108085284373225,0.0347000000001153,0,0,0,base_link,0,0,1,,,,,,,,,,,,
Link_wxl_1_1,0,0,0,0,0,0,0.123636759154767,2.3448917171524E-05,1.30842065967224E-18,0,3.31320244689737E-05,-1.33407688970212E-22,2.3448917171524E-05,0,0,0,0,0,0,package://X1_URDF_V1_2/meshes/Link_wxl_1_1.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://X1_URDF_V1_2/meshes/Link_wxl_1_1.STL,,W1092-X1-DPZJ_ASM-1/WXLZJ_ASM-1/WXL_ASM-3/零件1^WXL_ASM-1,AWXL1_1,WXL1_1,wxl_1_1,continuous,-0.0199999999999934,-0.000399999999997291,-0.0394500000000039,0,0,0,Link_wxl_1_2,0,-1,0,,,,,,,,,,,,
Link_wxl_2_2,-0.00844592653712367,0.000246418743358623,-0.0177476550522515,0,0,0,0.0560961902494193,2.19717050838629E-05,1.63251610479697E-07,-5.14176151327204E-06,1.78790240761635E-05,1.89048359569529E-07,2.03694290098123E-05,0,0,0,0,0,0,package://X1_URDF_V1_2/meshes/Link_wxl_2_2.STL,0.776470588235294,0.756862745098039,0.737254901960784,1,0,0,0,0,0,0,package://X1_URDF_V1_2/meshes/Link_wxl_2_2.STL,,W1092-X1-DPZJ_ASM-1/WXLZJ_ASM-1/WXL_ASM-1/WOAN29D811EEJUSZ_67-1,AWXL2_2,WXL2_2,wxl_2_2,continuous,0.137522383254618,0.107914715626775,0.0346999999999738,0,0,0,base_link,0,0,1,,,,,,,,,,,,
Link_wxl_2_1,0,0,-6.93889390390723E-18,0,0,0,0.123636759154767,2.3448917171524E-05,1.13579133833625E-18,1.53304023573224E-31,3.31320244689737E-05,1.30503759113729E-18,2.3448917171524E-05,0,0,0,0,0,0,package://X1_URDF_V1_2/meshes/Link_wxl_2_1.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://X1_URDF_V1_2/meshes/Link_wxl_2_1.STL,,W1092-X1-DPZJ_ASM-1/WXLZJ_ASM-1/WXL_ASM-1/零件1^WXL_ASM-1,AWXL2_1,WXL2_1,wxl_2_1,continuous,-0.0199999999999894,-0.00039999999999224,-0.0394500000000059,0,0,0,Link_wxl_2_2,0,-1,0,,,,,,,,,,,,
Link_wxl_3_2,-0.00844592653712534,0.000246418743352406,-0.0177476550522507,0,0,0,0.0560961902494197,2.19717050838619E-05,1.63251610475373E-07,-5.14176151327208E-06,1.78790240761635E-05,1.89048359572946E-07,2.0369429009813E-05,0,0,0,0,0,0,package://X1_URDF_V1_2/meshes/Link_wxl_3_2.STL,0.776470588235294,0.756862745098039,0.737254901960784,1,0,0,0,0,0,0,package://X1_URDF_V1_2/meshes/Link_wxl_3_2.STL,,W1092-X1-DPZJ_ASM-1/WXLZJ_ASM-1/WXL_ASM-2/WOAN29D811EEJUSZ_67-1,AWXL3_2,WXL3_2,wxl_3_2,continuous,-0.124977616745491,-0.118585284373098,0.0347000000000506,0,0,0,base_link,0,0,1,,,,,,,,,,,,
Link_wxl_3_1,0,0,-6.93889390390723E-18,0,0,0,0.123636759154767,2.3448917171524E-05,1.48907353900085E-18,4.52208350942123E-31,3.31320244689737E-05,2.93965402053216E-18,2.3448917171524E-05,0,0,0,0,0,0,package://X1_URDF_V1_2/meshes/Link_wxl_3_1.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://X1_URDF_V1_2/meshes/Link_wxl_3_1.STL,,W1092-X1-DPZJ_ASM-1/WXLZJ_ASM-1/WXL_ASM-2/零件1^WXL_ASM-1,AWXL3_1,WXL3_1,wxl_3_1,continuous,-0.0199999999999935,-0.000400000000006312,-0.0394500000000037,0,0,0,Link_wxl_3_2,0,-1,0,,,,,,,,,,,,
Link_wxl_4_2,-0.00844592653712262,0.000246418743352128,-0.0177476550522514,0,0,0,0.0560961902494227,2.19717050838637E-05,1.63251610475225E-07,-5.14176151327227E-06,1.78790240761647E-05,1.89048359572896E-07,2.03694290098133E-05,0,0,0,0,0,0,package://X1_URDF_V1_2/meshes/Link_wxl_4_2.STL,0.776470588235294,0.756862745098039,0.737254901960784,1,0,0,0,0,0,0,package://X1_URDF_V1_2/meshes/Link_wxl_4_2.STL,,W1092-X1-DPZJ_ASM-1/WXLZJ_ASM-1/WXL_ASM-4/WOAN29D811EEJUSZ_67-1,AWXL4_2,WXL4_2,wxl_4_2,continuous,-0.124977616745376,0.118414715626902,0.0346999999998987,0,0,0,base_link,0,0,1,,,,,,,,,,,,
